proto,ac,active,actuator,air,alarm,angle,apparent,atmospheric,avg,boiler,bypass,ch2o,chilled,chiller,circ,cloudage,cmd,co,co2,concentration,condensate,condenser,controller,cool,cooling,coolingCoil,coolingTower,crac,current,damper,daytime,delta,demand,dessicantDehumidifier,device,dewPoint,direction,discharge,duct,ductArea,economizer,economizing,effective,efficiency,elec,enable,energy,entering,enthalpy,equip,evaporator,exhaust,export,extraction,faceBypass,fan,fcu,feelsLike,filter,flow,flowInverter,flue,flux,freezeStat,freq,ground,header,heat,heatExchanger,heatWheel,heating,heatingCoil,hot,humidifier,humidity,hvacMode,illuminance,imbalance,import,infiltration,inlet,irradiance,isolation,leaving,level,light,load,luminous,magnitude,makeup,meter,mixed,mixing,motor,net,networking,nh3,no2,o3,occ,occupancy,occupied,outside,perimeterHeat,pf,phase,pipe,pm01,pm10,pm25,point,power,precipitation,pressure,pump,purge,rack,reactive,refrig,reheat,return,run,sensor,server,solar,sp,space,speed,stage,standby,steam,temp,thd,thermal,thermostat,total,tvoc,unocc,valve,velocity,ventilation,vfd,visibility,volt,volume,warm,water,weather,weatherCond,well,wetBulb,wind,zone
condenser water leaving flow sp point,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
condenser water leaving pipe equip,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
condenser water leaving point,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
condenser water leaving pressure sensor point,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
condenser water leaving pressure sp point,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
condenser water leaving pump alarm sensor point,"","","","",✓,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
condenser water leaving pump enable cmd point,"","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
condenser water leaving pump enable sensor point,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
condenser water leaving pump equip,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
condenser water leaving pump motor equip,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
condenser water leaving pump point,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
condenser water leaving pump run cmd point,"","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
condenser water leaving pump run sensor point,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","",✓,✓,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
condenser water leaving pump vfd freq cmd point,"","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","",""
condenser water leaving pump vfd freq sensor point,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","",""
condenser water leaving pump vfd speed cmd point,"","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","",✓,"","","","",✓,"","","","","",""
condenser water leaving pump vfd speed sensor point,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","",✓,"","","","",✓,"","","","","",""
condenser water leaving temp sensor point,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","",""
condenser water leaving temp sp point,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","",""
condenser water leaving valve actuator equip,"","",✓,"","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","",""
condenser water leaving valve cmd point,"","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","",""
condenser water leaving valve sensor point,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","",""
condenser water valve isolation cmd point,"","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","",""
controller device,"","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
cool cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
cool water flow thermal meter equip,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","",✓,"","","","","",""
cool well equip,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","",""
coolingCoil equip,"","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
coolingTower equip,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
crac fcu equip,"","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
damper actuator equip,"","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
damper cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
damper sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
dessicantDehumidifier cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge air co2 concentration sensor point,"","","",✓,"","","","","","","","","","","","","","",✓,✓,"","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge air co2 concentration sp point,"","","",✓,"","","","","","","","","","","","","","",✓,✓,"","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge air dewPoint sensor point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge air dewPoint sp point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge air enthalpy sensor point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge air enthalpy sp point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge air flow sensor point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge air flow sp point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge air humidity sensor point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge air humidity sp point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge air pressure sensor point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge air pressure sp point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge air temp sensor point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",""
discharge air temp sp point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","",""
discharge chilled water cool valve cmd point,"","","","","","","","","","","","",✓,"","","",✓,"","","","","","",✓,"","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","",""
discharge coolingCoil equip,"","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge damper actuator equip,"","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge damper cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge damper sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge duct equip,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,✓,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge equip,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge fan alarm sensor point,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge fan enable cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge fan enable sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge fan equip,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge fan motor equip,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge fan point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge fan run cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge fan run sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge fan vfd freq cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",""
discharge fan vfd freq sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",""
discharge fan vfd speed cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","",✓,"","","","","","","","","","",""
discharge fan vfd speed sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","",✓,"","","","","","","","","","",""
discharge heatingCoil equip,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge hot water heat valve cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","",""
discharge point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
discharge stage:1 cool run cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","",✓,"","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","",""
discharge stage:1 heat run cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","",""
discharge steam heat valve cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","",""
